name,id
Kinberg Genre,78091
DC Comics,429
Legendary Pictures,923
Warner Bros.,6194
DC Entertainment,9993
Syncopy,9996
Pixar Animation Studios,3
DreamWorks Animation,521
Marvel Studios,420
Paramount Pictures,4
Infinitum Nihil,2691
GK Films,3281
"Todman, Simon, LeMasters Productions",2507
Warner Bros.,6194
Peters Entertainment,16774
Sonnenfeld Josephson Worldwide Entertainment,57088
Universal Pictures,33
China Film Co-Production Corporation,2269
Relativity Media,7295
Alphaville Films,11462
"Sommers Company, The",19643
DC Comics,429
Dune Entertainment,444
Atlas Entertainment,507
Warner Bros.,6194
DC Entertainment,9993
Columbia Pictures,5
Universal Pictures,33
Spyglass Entertainment,158
Shady Acres Entertainment,159
Original Film,333
Playtone,4171
Relativity Media,7295
Village Roadshow Pictures,79
Warner Bros.,6194
Viz Media,6687
Province of British Columbia Production Services Tax Credit,12200
3 Arts Entertainment,36390
RatPac-Dune Entertainment,41624
Universal Pictures,33
Gordon Company,1073
Davis Entertainment,1302
Licht/Mueller Film Corporation,6092
Paramount Pictures,4
Spyglass Entertainment,158
Di Bonaventura Pictures,435
Hasbro,2598
Kontsept Film Company,76067
Walt Disney Pictures,2
Pixar Animation Studios,3
Walt Disney Pictures,2
Walt Disney Studios Motion Pictures,3036
Fairview Entertainment,7297
Moving Picture Company (MPC),20478
Marvel Studios,420
Universal Pictures,33
Roth Films,16314
Walt Disney Pictures,2
Walt Disney Studios Motion Pictures,3036
Roth Films,16314
Ingenious Media,290
Chernin Entertainment,7076
TSG Entertainment,22213
Corsan,7299
Bliss Media,8186
Limelight International Media Entertainment,8187
Neelmudra Entertainment,8188
Aristos Films,76098
Singularity Productions,76099
Wildkite,76100
Mid Atlantic Films,2735
Stuber Productions,4403
Universal,6292
Moving Picture Company (MPC),20478
H2F Entertainment,20851
Marvel Studios,420
DreamWorks Animation,521
Walt Disney Pictures,2
Babieka,20656
A113,59778
Walt Disney Pictures,2
Walt Disney Animation Studios,6125
Walt Disney Animation Studios,6125
Golden Mean,1867
Playtone,4171
ImageMovers,11395
Twentieth Century Fox Film Corporation,306
Centropolis Entertainment,347
TSG Entertainment,22213
Stereo D,86561
DreamWorks Animation,521
Vertigo Entertainment,829
Mad Hatter Entertainment,20154
Columbia Pictures,5
Intermedia Films,763
Warner Bros.,6194
C-2 Pictures,7340
IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,19116
Mostow/Lieberman Productions,23636
Marvel Studios,420
Moving Picture Company (MPC),20478
Bulletproof Cupid,54850
Revolution Sun Studios,76043
Paramount Pictures,4
Legendary Pictures,923
Warner Bros.,6194
Syncopy,9996
Lynda Obst Productions,13769
Legendary Pictures,923
Warner Bros.,6194
Syncopy,9996
Cine Bazar,5896
Toho Pictures,49301
WingNut Films,11
New Line Cinema,12
Warner Bros. Pictures,174
Metro-Goldwyn-Mayer (MGM),8411
Universal Pictures,33
Original Film,333
Ardustry Entertainment,26281
Mediastream Film GmbH & Co. Productions KG,26282
Paramount Pictures,4
Warner Bros.,6194
"Kennedy/Marshall Company, The",7383
Ingenious Film Partners,289
Ingenious Media,290
Twentieth Century Fox Film Corporation,306
Donners' Company,431
Dune Entertainment,444
Dune Entertainment III,6332
Marvel Entertainment,7505
Bad Hat Harry Productions,9168
Big Screen Productions,10893
Studio Babelsberg,264
Lionsgate,1632
Color Force,5420
Walt Disney Pictures,2
Jerry Bruckheimer Films,130
Saturn Films,831
Broken Road Productions,8000
Junction Entertainment,19097
Virtual Studios,449
Next Entertainment,1633
Warner Bros.,6194
Irwin Allen Productions,14024
Radiant Productions,18990
Synthesis Entertainment,19943
Walt Disney Pictures,2
Team Todd,598
Tim Burton Productions,8601
Roth Films,16314
Legend3D,37455
DreamWorks SKG,27
DreamWorks Animation,521
Universal Pictures,33
Atlas Entertainment,507
Legendary Pictures,923
Blizzard Entertainment,16028
Paramount Pictures,4
Annapurna Pictures,13184
Skydance Media,82819
Dune Entertainment,444
Fox 2000 Pictures,711
Walden Media,10221
Jerry Bruckheimer Films,130
Touchstone Pictures,9195
Paramount Pictures,4
DreamWorks SKG,27
Amblin Entertainment,56
Di Bonaventura Pictures,435
Platinum Dunes,2481
thinkfilm,12247
SprocketHeads,20011
Hasbro Studios,22826
Revolution Sun Studios,76043
France 3 Cinéma,591
Intermedia Films,763
Pathé Renn Productions,866
Egmond Film & Television,4588
Warner Bros.,6194
Pacifica Film,10926
IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,19116
WR Universal Group,54997
Warner Bros.,6194
Heyday Films,7364
Patalex IV Productions Limited,462
Warner Bros.,6194
Heyday Films,7364
Columbia Pictures,5
Weed Road Pictures,433
Forward Pass,675
Relativity Media,7295
Overbrook Entertainment,12485
Blue Light,28064
GH Three,41756
Village Roadshow Pictures,79
Original Film,333
Weed Road Pictures,433
Warner Bros.,6194
Heyday Films,7364
Overbrook Entertainment,12485
Village Roadshow Pictures,79
The Zanuck Company,80
Warner Bros.,6194
Tim Burton Productions,8601
Plan B Entertainment,45778
Theobald Film Productions,55512
Walt Disney Pictures,2
Pixar Animation Studios,3
DC Comics,429
Legendary Pictures,923
Warner Bros.,6194
DC Entertainment,9993
Syncopy,9996
Patalex III Productions Limited,19231
DreamWorks Animation,521
Twentieth Century Fox Film Corporation,306
1492 Pictures,436
Dune Entertainment,444
21 Laps Entertainment,2575
Museum Canada Productions,10224
Moving Picture Company (MPC),20478
Ingenious Film Partners,289
Twentieth Century Fox Film Corporation,306
Donners' Company,431
Dune Entertainment,444
Seed Productions,9076
Bad Hat Harry Productions,9168
Big Screen Productions,10893
Marvel Enterprises,19551
Village Roadshow Pictures,79
NPV Entertainment,172
Silver Pictures,1885
Warner Bros.,6194
Walt Disney Pictures,2
Walt Disney Animation Studios,6125
Village Roadshow Pictures,79
NPV Entertainment,172
Heineken Branded Entertainment,375
Silver Pictures,1885
Warner Bros.,6194
Marvel Studios,420
Village Roadshow Pictures,79
Kennedy Miller Productions,2537
Warner Bros.,6194
Columbia Pictures,5
Imagine Entertainment,23
Panorama Films,5561
Skylark Productions,8253
Marvel Studios,420
Walt Disney Animation Studios,6125
Walt Disney Pictures,2
Jerry Bruckheimer Films,130
Whamaphram Productions,3639
Legendary Pictures,923
Thunder Road Pictures,3528
Warner Bros.,6194
Cott Productions,24175
"Furia de Titanes II, A.I.E.",24176
Village Roadshow Pictures,79
Infinitum Nihil,2691
GK Films,3281
Warner Bros.,6194
Tim Burton Productions,8601
Dan Curtis Productions,9228
"Zanuck Company, The",20004
Paramount Pictures,4
Skydance Productions,6277
China Movie Channel,11413
Bad Robot,11461
TC Productions,21777
Alibaba Pictures Group,69484
Odin,69485
Universal Pictures,33
Stuber Productions,4403
Relativity Media,7295
Pacific Data Images (PDI),520
DreamWorks Animation,521
Columbus 81 Productions,1903
DreamWorks Animation,521
Paramount Pictures,4
Nickelodeon Movies,2348
"Kennedy/Marshall Company, The",7383
Industrial Light & Magic (ILM),8805
Blinding Edge Pictures,12236
Paramount Pictures,4
Cruise/Wagner Productions,44
Studio Babelsberg,264
MI 3 Film,658
China Film Co-Production Corporation,2269
China Film Group Corporation (CFGC),14714
The Fourth Production Company Film Group,22102
Columbia Pictures,5
Centropolis Entertainment,347
Iron Horse Entertainment (II),34981
Mythology Entertainment (II),34982
Walt Disney Animation Studios,6125
Aardman Animations,297
DreamWorks Animation,521
Warner Bros.,6194
Moving Picture Company (MPC),20478
Berlanti Productions,27711
RatPac-Dune Entertainment,41624
Pacific Data Images (PDI),520
DreamWorks Animation,521
Classic Media Productions,73951
Bullwinkle Studios,73952
Plan B Entertainment,81
Warner Bros.,6194
Nimar Studios,7636
Radiant Productions,18990
Helena Productions,19107
Latina Pictures,19108
DreamWorks Animation,521
Eon Productions,7576
Columbia Pictures,5
Village Roadshow Pictures,79
"Montecito Picture Company, The",4607
LStar Capital,34034
Feigco Entertainment,61791
Pascal Pictures,84041
Ghostcorps,84042
Jerry Bruckheimer Films,130
Touchstone Pictures,9195
Valhalla Motion Pictures,11533
Columbia Pictures,5
Amblin Entertainment,56
Columbia Pictures Corporation,441
Parkes+MacDonald Image Nation,49325
Paramount Pictures,4
Shangri-La Entertainment,2265
ImageMovers,11395
Paramount Animation,24955
Twentieth Century Fox Film Corporation,306
DreamWorks Animation,521
China Film Co.,40890
Oriental DreamWorks,76266
Paramount Pictures,4
Skydance Productions,6277
Bad Robot,11461
TC Productions,21777
Revolution Sun Studios,76043
Kontsept Film Company,76067
DreamWorks Animation,521
Imagine Entertainment,23
Columbia Pictures Corporation,441
JC 23 Entertainment,76714
Cruise/Wagner Productions,44
Warner Bros.,6194
Radar Pictures,14718
"Bedford Falls Company, The",20634
Scott Free Productions,1645
Chernin Entertainment,7076
Babieka,20656
Volcano Films,52184
Paramount Pictures,4
Spyglass Entertainment,158
Bad Robot,11461
MavroCine Pictures GmbH & Co. KG,23419
Columbia Pictures,5
Marvel Enterprises,19551
DreamWorks Animation,521
Mad Hatter Entertainment,20154
Summit Entertainment,491
Mystery Clock Cinema,908
Thunder Road Pictures,3528
TIK Films,72441
Pyramania,88715
Laura Ziskin Productions,326
Original Film,333
Columbia Pictures Corporation,441
Phoenix Pictures,11317
AFG Talons Productions,19523
Paramount Pictures,4
DC Comics,429
Lawrence Gordon Productions,840
Legendary Pictures,923
Warner Bros.,6194
Cruel and Unusual Films,78685
Silver Pictures,1885
Donner/Shuler-Donner Productions,5739
Warner Bros.,6194
Universal Pictures,33
Good Machine,10565
Valhalla Motion Pictures,11533
Marvel Enterprises,19551
Paramount Pictures,4
Di Bonaventura Pictures,435
Hasbro,2598
Skydance Productions,6277
Metro-Goldwyn-Mayer (MGM),8411
Saints LA,19719
Paramount Pictures,4
Bristol Bay Productions,2233
Baldwin Entertainment Group,2234
Desertlands Entertainment,2235
Mace Neufeld Productions,2767
Kanzaman,4169
J.K. Livin Productions,12124
Moguletta,12125
Sahara Productions,12126
Babelsberg Film,19481
Columbia Pictures,5
Square USA,4164
Chris Lee Productions,20033
Marvel Studios,420
Eon Productions,7576
Metro-Goldwyn-Mayer (MGM),8411
Universal Pictures,33
Twentieth Century Fox Film Corporation,306
Samuel Goldwyn Films,9118
Miramax,53009
Summit Entertainment,491
Sunswept Entertainment,5219
Temple Hill Entertainment,12292
Village Roadshow Pictures,79
Warner Bros.,6194
Dr D Studios,28381
Kennedy Miller Mitchell,28382
Universal Pictures,33
Marvel Studios,420
Valhalla Motion Pictures,11533
MVL Incredible Productions,25121
Walt Disney Pictures,2
Amblin Entertainment,56
Reliance Entertainment,7294
"Kennedy/Marshall Company, The",7383
Walden Media,10221
Regency Enterprises,508
Appian Way,562
CatchPlay,8870
Anonymous Content,10039
New Regency Pictures,10104
Hong Kong Alpha Motion Pictures Co.,13796
RatPac Entertainment,28732
M Productions,52660
Monarchy Enterprises S.a.r.l.,77845
DreamWorks Animation,521
Paramount Pictures,4
Nickelodeon Movies,2348
GK Films,3281
Blind Wink,10262
Paramount Animation,24955
DreamWorks Animation,521
Universal Pictures,33
The Kennedy/Marshall Company,862
Ludlum Entertainment,11347
Motion Picture BETA Produktionsgesellschaft,11348
Bourne Again,11349
DreamWorks Animation,521
Marvel Studios,420
Lionsgate,1632
Color Force,5420
Twentieth Century Fox Film Corporation,306
DreamWorks Animation,521
Paramount Pictures,4
DreamWorks SKG,27
Cruise/Wagner Productions,44
Amblin Entertainment,56
Columbia Pictures Corporation,441
Don Simpson/Jerry Bruckheimer Films,10288
DreamWorks,7
Columbia Pictures,5
Di Bonaventura Pictures,435
Relativity Media,7295
Wintergreen Productions,11845
Paramount Pictures,4
Regency Enterprises,508
Protozoa Pictures,7503
Disruption Entertainment,10256
Paramount Pictures,4
Columbia Pictures,5
WingNut Films,11
Amblin Entertainment,56
Nickelodeon Movies,2348
"Kennedy/Marshall Company, The",7383
Hemisphere Media Capital,9169
1492 Pictures,436
Heyday films,437
Warner Bros.,6194
Bazmark Films,240
Ingenious Film Partners,289
Twentieth Century Fox Film Corporation,306
Dune Entertainment III,6332
ScreenWest,7888
Columbia Pictures,5
Blinding Edge Pictures,12236
Overbrook Entertainment,12485
Walt Disney Pictures,2
Walt Disney Feature Animation,10217
Twentieth Century Fox Film Corporation,306
1492 Pictures,436
21 Laps Entertainment,2575
Moving Picture Company (MPC),20478
TSG Entertainment,22213
DreamWorks Animation,521
1492 Pictures,436
Warner Bros.,6194
Heyday Films,7364
Universal Pictures,33
Original Film,333
Dark Horse Entertainment,552
Walt Disney Pictures,2
Jerry Bruckheimer Films,130
Lionsgate,1632
Color Force,5420
Columbia Pictures,5
Imagine Entertainment,23
Skylark Productions,8253
Government of Malta,19927
Blue Sky Studios,9383
Twentieth Century Fox Animation,11749
Twentieth Century Fox Film Corporation,306
Donners' Company,431
Bad Hat Harry Productions,9168
Marvel Enterprises,19551
XM2 Productions,79026
XF2 Canada Productions,79027
Universal Pictures,33
Original Film,333
One Race Productions,1225
Village Roadshow Pictures,79
Silver Pictures,1885
Lin Pictures,2723
Warner Bros.,6194
Wigram Productions,23202
The Zanuck Company,80
Legendary Pictures,923
Thunder Road Pictures,3528
Warner Bros.,6194
Moving Picture Company (MPC),20478
TriStar Pictures,559
